name,price
Foundation Times,12.5
Satire Chronicle,13.8
Design Daily,10.25
Health Digest,13.3
Alliance Monthly Magazine,20.0
Mansion Guide,10.5
Edict Digest,12.5
Acoustic Magazine,13.8
Metal Illustrated,10.25
Review Week,20.67
Craft Magazine,10.5
Holy Magazine,12.5
Portrait Focus,12.5
Fate Magazine,13.8
Strength Magazine,10.25
Paint Magazine,20.0
Vista Monthly Magazine,10.5
Partnership Monthly,12.5
Web Reports,15.5
Monster Times,16.7
Creation Report,12.5
Search Weekly Magazine,13.8
Entrepreneur Week,10.25
Game Focus,12.2
Parade Week,10.0
Diagnosis Times,20.0
Treatment Focus,10.5
Engineering Weekly,12.5
Viewpoint Magazine,23.5
Advisor Illustrated,10.0